sighting_id,datetime,location_id,shape_id,duration_seconds,duration_text,comments,date_posted
64,10/10/1999 00:01,182,1,3600,1 hour,Bright objects red and green flashing lights (and a diffuse white light off to one side of the larger of the two objects) about 30 de,10/19/1999
65,10/10/1999 04:00,121,2,600,5-10 min.,Orange object over city.,10/19/1999
66,10/10/1999 06:00,384,16,10,10 seconds,group of   twinkling lights at high altitude,11/20/2001
67,10/10/1999 11:00,149,9,3600,1 hour,At 10:45 in the morning my father and I noticed a small stationary object in the sky.,10/19/1999
68,10/10/1999 12:40,354,4,45,45 secs,Standing outside saying goodby to family members and pointing to Chem-Trails,10/19/1999
69,10/10/1999 20:35,102,8,90,60-90 sec,Many different colored glowing  objects,11/20/2001
70,10/10/1999 21:00,636,18,10800,3 hours,Bright lights with incredible agility seen from mailbox at Area 51 on UFO highway in Nevada for several hourse.,5/24/2005
71,10/10/1999 21:30,448,4,300,5 min,Object moving erratically in sky stopped by spot light,2/14/2006
72,10/10/1999 22:30,761,5,240,4 minutes,Object silently traveled north -northwest. It was V shaped with five orange lights on the perimeter and one white ligh in the center of,10/19/1999
73,10/10/1999 23:45,593,13,2700,45 minutes,Oval shaped with lights all around it in a haze with several smaller lights flying all around it.,10/19/1999
74,10/10/2000 03:00,546,13,180,3 minutes,The craft was big orange and oval shaped.,12/2/2000
75,10/10/2000 06:15,697,16,10,10 seconds,Unusual light formation moving extremely fast across the sky.,12/2/2000
76,10/10/2000 20:30,44,18,1800,30 min.,3 bright golden lights moving independently above the tree line flaring and fading intermittently for approx. 15 min.,12/2/2000
77,10/10/2000 21:30,464,18,5,4-5 seconds,Two objects traveling side by side pass over as one begins to zig zag it&#39s path.,12/2/2000
78,10/10/2000 21:30,193,2,10,10 sec,Dark object in the shape of a (4) after dusk in West Seattle,2/11/2003
79,10/10/2000 22:00,707,11,60,1min,One night my window started to flash,5/12/2009
80,10/10/2001 03:00,73,20,240,4 min.s,Largesilentslowlow to the ground dull-black Triangle UFO with round red lights at it&#39s corners that were off .I drew it.,7/1/2002
81,10/10/2001 20:35,102,8,120,2/min.,FALLING STAR  STOPS  &#39SHOTS OUT  DOZENS OF RED POINTS OF LIGHT,11/20/2001
82,10/10/2001 21:15,359,6,300,3-5 minutes,We saw a square object at night  which had 2 blue &amp; 2 red lights at corners hovering in sky above us.,11/20/2001
83,10/10/2001 21:30,200,1,900,15 min. apprx,Objects were sighted driving north on Highway 5 in California&#39s central valley after night fall not far past &quot;Kettleman/Fresno&quot; exit s,11/20/2001
84,10/10/2001 22:00,285,20,60,less then a minute,Triangle shaped craft spotted flying west to east over mid town Phoenix on 10/10/01 at 22:00 hours 4 light dim making no sounellow,11/20/2001
85,10/10/2001 23:00,128,20,30,30 seconds,shaped like a stealth bomber (boomerang like but more triangluar) flat-black in color made a deep humming sound either really low to,7/26/2002
86,10/10/2002 00:01,46,14,43,00:43,we saw pure a light that occasionaly split into 3 to 4 different lights.,10/15/2002
87,10/10/2002 02:00,573,2,5,about5seconds,i watched on the portland news that the space shuttle would be visiable and went to philomath oregon to what was known to be the apple,10/15/2002
88,10/10/2002 06:00,193,4,90,90 seconds,Light falls from sky,10/15/2002
89,10/10/2002 20:30,472,16,1800,30 minutes,Large octagon blue lights on rim red center light hovers over downtown Cincinnati thursday October 10.,10/15/2002
90,10/10/2002 21:00,732,8,120,2min,The LIGHT is the TRUTH&#33,12/16/2005
91,10/10/2003 12:00,615,13,300,5 min,3 Black ovals in the sky and a floating movie camera,1/17/2004
92,10/10/2003 18:00,624,4,1800,30 minutes,Sphere shape object with flashing bright white lights,10/15/2003
93,10/10/2003 19:15,507,16,600,10 minutes,Aliens check out local high school football game.,10/15/2003
94,10/10/2003 20:05,302,18,15,12-15 seconds,Bright light above Mt. Home AFB,10/15/2003
95,10/10/2003 20:25,582,13,18000,over 5 hours,pulsating green white and red object in the northwest sky at 45degrees,10/31/2003
96,10/10/2003 21:10,752,15,37800,1 1/2 hr.,For two consecutive nights we watched a pattern of lights before we were stunned by a discovery on the beach.,1/17/2004
97,10/10/2003 22:00,598,18,180,3 minutes,Three bright lights that were huddled together than began to seperate and disappeared.,2/1/2007
98,10/10/2003 23:25,375,4,1800,30min,UFO Contact Amazing close sighting,9/2/2005
99,10/10/2004 02:50,74,20,180,2 - 3 minutes,Triangle shaped flying hovering U.F.O. witnessed over Sheraton Hotel in Mahwah NJ. on 10/10/04.,12/12/2011
100,10/10/2004 04:18,749,4,5,5 seconds,silently it came over my head from behind; as I was laying on my back. About the size of a thumbnail at arms length was a lite white,10/27/2004
101,10/10/2004 08:30,624,13,15,15 seconds,((NUFORC Note:  Possible sighting of a contrail??  PD)),10/27/2004
102,10/10/2004 14:00,103,8,10,10 sec,Solid round silver ball passing over at about 3000MSL.,5/24/2005
103,10/10/2004 15:00,328,2,180,3 minutes,While driving my car in the mid afternoon of a day in the fall of 2004 on HYW 580 East-bound I had just crossed the San Rafael / Richmo,5/24/2005
104,10/10/2004 15:00,685,4,3600,1 hour,The sky was clear  and the objects at times appeared to rotate slowly.,10/27/2004
105,10/10/2004 19:00,456,8,900,15 min,7 red/orange stationary objects appeared over Lake Erie on 10/10/04 for 15 minutes and then all disappeared at once.,10/27/2004
106,10/10/2004 21:00,264,14,900,1/2 hour,Metor or craft descending then sudden flash of light,10/27/2004
107,10/10/2004 21:00,535,18,7200,a few hours,Several UFO&#39s one bigger one flew right over the car.,10/27/2004
108,10/10/2004 22:00,570,18,60,1 min,A light moved across the sky in a zig zag way then straightened out and went straight out into space in a matter of seconds.,11/28/2007
109,10/10/2004 23:30,375,4,3000,45-50 mins,It was about 9:30PM my friend and I were going to go out deer shining with my step dads truck and my friends spotlight. We left his hou,9/2/2005
110,10/10/2005 07:40,193,16,60,one + minutes,round symetrical with roundish flat bottom shiny white colored low flying bigger than  a plane.,10/11/2005
111,10/10/2005 09:00,421,16,30,30 seconds,half-moon shaped objects that just winked out,10/11/2005
112,10/10/2005 09:30,492,13,1800,30 minutes,i sent you an e-mail 2 days ago and really want to be contacted PLEASE  contact me asap I&#39m not crazy and nether is my wife please c,10/20/2005
113,10/10/2005 14:45,531,3,10,10 seconds,Egg UFO over Hollywood Hills and LAX in LOS ANGELES CA.,10/20/2005
114,10/10/2005 20:00,674,20,300,5 minutes,Dull red flash Triangular ship Vocal Noises,10/30/2006
115,10/10/2005 21:00,715,2,240,4 minutes,Like a grouping of balloons with a slight glow to them,12/7/2006
116,10/10/2005 21:30,492,16,3600,60 min,a manta ray shaped object with orange and yellow lights flashing in,10/11/2005
117,10/10/2005 22:08,96,18,1200,20 min,Strange light over East Wenatchee Washington,10/20/2005
118,10/10/2005 23:00,172,18,600,10 minutes,Last night October 10 at about 11:00PM for about ten minutes I observed a peculiar point source light in the Eastern sky. It was at a,10/11/2005
119,10/10/2005 23:07,592,7,300,5 min.,A big lighted up silver saucer.,10/30/2006
120,10/10/2006 01:00,613,11,3600,one hour,IN form of diamond with multi colored lights that acted like disco light except one.  theone light was like a brite star and would resp,2/1/2007
121,10/10/2006 05:00,143,20,600,10 minutes,black triangles were seen flying across the surface of the full moon,10/30/2006
122,10/10/2006 12:37,706,2,10,<10 sec.,Intermittant streak by moon not seen on photo taken 10 seconds earlier.,10/30/2006
123,10/10/2006 16:00,487,18,600,10 minutes,weird light that moved in the sky,10/30/2006
124,10/10/2006 16:00,319,20,600,8-10 minutes,Large...beautiful...and brighter than anything I&#39ve ever seen....How small I have felt since....,10/30/2006
125,10/10/2006 20:00,134,16,360,6 mins,Glowing V Shaped Object flying Low making no sound.,12/12/2009
126,10/10/2006 22:40,692,18,120,2 minutes,Redish orange light viewed from Waycross Ga. Moving Northwest and suddenly just goes out.,10/30/2006
127,10/10/2006 22:50,214,7,300,5 min,Huge aircraft with diagnally aligned white lights moving slowly and loudly through the night.,10/30/2006
128,10/10/2006 23:00,161,2,300,5 minutes,This is a follow up to my Feb. 16th 1995 report.  This past Tuesday my wife and I AGAIN heard the same loud rumbling roar that we he,10/30/2006
129,10/10/2007 01:00,687,18,14400,4 hours,Small Orange-White &quot;star&quot; that moves around in circles up down and sideways fast in the night sky,11/28/2007
130,10/10/2007 01:00,607,1,3600,1 hour,i was abducted,11/28/2007
131,10/10/2007 04:00,497,1,2700,45 minutes+,Huge lighted cluster in the eastern sky.  ((NUFORC Note:  Sighting of Venus.  PD)),11/28/2007
132,10/10/2007 04:30,254,4,30,30 seconds,half mile from de saint Jhons River low flying sphere   at slow speed without noise,3/4/2008
